# 加成描述到Effect名称|modified_attribute_name的映射字典
# 格式: 加成描述: effect_name|modified_attr_name

## 能量炮台

xx% 能量炮台最佳射程和失准范围加成: overloadSelfTrackingModuleBonus|maxRangeBonus/falloffBonus/trackingSpeedBonus
xx% 能量炮台最佳射程和失准范围加成: roleBonusMHTRangeCBC2|maxRange/falloff
xx% 武器扰断器最佳射程和失准范围惩罚: roleBonusWDRange|maxRange/falloffEffectiveness
xx% 武器扰断器效果加成: shipBonusEwWeaponDisruptionStrengthAC1|trackingSpeedBonus/falloffBonus/maxRangeBonus/aoeCloudSizeBonus/aoeVelocityBonus/explosionDelayBonus/missileVelocityBonus
xx% 武器扰断器效果加成: shipBonusEwWeaponDisruptionStrengthAF2|trackingSpeedBonus/falloffBonus/maxRangeBonus/aoeCloudSizeBonus/aoeVelocityBonus/explosionDelayBonus/missileVelocityBonus
xx% 武器扰断器效果加成: shipBonusEwWeaponDisruptionStrengthRookie|trackingSpeedBonus/falloffBonus/maxRangeBonus/aoeCloudSizeBonus/aoeVelocityBonus/explosionDelayBonus/missileVelocityBonus
xx% 能量炮台最佳射程和失准范围加成: shipBonusForceAuxiliaryA1NosferatuRangeBonus|maxRange/falloffEffectiveness
xx% 能量炮台最佳射程和失准范围加成: shipBonusNosOptimalFalloffAC2|maxRange/falloffEffectiveness
xx% 能量炮台最佳射程和失准范围加成: shipBonusRemoteRepairRangePirateFaction2|maxRange/falloffEffectiveness
xx% 能量炮台最佳射程和失准范围加成: shipBonusRole01StarTiamatNeut|maxRange/powerTransferAmount/falloffEffectiveness/energyNeutralizerAmount/maxRange/falloffEffectiveness
xx% 能量炮台最佳射程和失准范围加成: shipEnergyNeutralizerBuffonCrescentAB|energyNeutralizerAmount/maxRange/falloff
xx% 能量炮台最佳射程和失准范围加成: shipMHTRangeBonusBounsGC|maxRange/falloff
xx% 能量炮台最大速度加成: massEntanglerEffect5|mass/maxVelocity/warpScrambleStatus/activationBlocked/speedFactor/speedBoostFactor
xx% 能量炮台最大速度加成: subsystemBonusMinmatarOffensive1HMLHAMVelo|maxVelocity/maxVelocity
xx% 能量炮台能量栅格需求降低: C4LNGModuleEffect|power/armorHPBonusAdd
xx% 能量炮台能量栅格需求降低: ColossusRapidTorpedoPGNeedLowerSpringboard2|power
xx% 能量炮台能量栅格需求降低: ColossusXLTurretPGNeedLowerSpringboard2|power
xx% 能量炮台能量栅格需求降低: amarrCruiserSkillBoostPowerOutputBonus|powerOutputBonus
xx% 能量炮台能量栅格需求降低: booster62107Bonus|power
xx% 能量炮台能量栅格需求降低: characterWillpowerSkillTrainingTimeBonus|willpowerSkillTrainingTimeMultiplier
xx% 能量炮台能量栅格需求降低: drawbackCapRepPGNeed|power
xx% 能量炮台能量栅格需求降低: drawbackPowerNeedHybrids|power
xx% 能量炮台能量栅格需求降低: drawbackPowerNeedLasers|power
xx% 能量炮台能量栅格需求降低: drawbackPowerNeedPrecursor|power
xx% 能量炮台能量栅格需求降低: drawbackPowerNeedProjectiles|power
xx% 能量炮台能量栅格需求降低: drawbackRemoteRepairSystemsPGNeed|power/power
xx% 能量炮台能量栅格需求降低: drawbackRepairSystemsPGNeed|power
xx% 能量炮台能量栅格需求降低: eliteBonusEnergyDrainAmountBlackOps2|energyNeutralizerAmount/powerTransferAmount
xx% 能量炮台能量栅格需求降低: eliteBonusVampireDrainAmount2|powerTransferAmount
xx% 能量炮台能量栅格需求降低: energyTransferArrayTransferAmountBonus|powerTransferAmount
xx% 能量炮台能量栅格需求降低: engineeringPowerEngineeringOutputBonusPostPercentPowerOutputLocationShipGroupPowerCore|powerOutput
xx% 能量炮台能量栅格需求降低: engineeringSkillBoostPowerOutputBonus|powerEngineeringOutputBonus
xx% 能量炮台能量栅格需求降低: ironWillWillpowerBonusModAddWillpowerLocationChar|willpower
xx% 能量炮台能量栅格需求降低: powerIncrease|powerOutput
xx% 能量炮台能量栅格需求降低: powerOutputAddPassive|powerOutput
xx% 能量炮台能量栅格需求降低: powerOutputMultiply|powerOutput
xx% 能量炮台能量栅格需求降低: remoteCapacitorTransmitterPowerNeedBonusEffect|power
xx% 能量炮台能量栅格需求降低: roleBonusCDLinksPGReduction|power
xx% 能量炮台能量栅格需求降低: sensorUpgradesSkillBoostPowerNeedBonus|powerNeedBonus
xx% 能量炮台能量栅格需求降低: setBonusChristmasPowergrid|powerEngineeringOutputBonus
xx% 能量炮台能量栅格需求降低: setBonusFlarePowergrid|powerEngineeringOutputBonus
xx% 能量炮台能量栅格需求降低: shipBonusDreadnoughtA1EnergyWarfareAmountBonus|energyNeutralizerAmount/powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipBonusEnergyVampireRangeAB2|powerTransferRange
xx% 能量炮台能量栅格需求降低: shipBonusForceAuxiliaryA1NosferatuDrainAmount|powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipBonusForceAuxiliaryC1RemoteBoostAndCapAmount|powerTransferAmount/shieldBonus
xx% 能量炮台能量栅格需求降低: shipBonusTitanA1EnergyWarfareAmountBonus|energyNeutralizerAmount/powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipEnergyDrainAmountAF1|powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipEnergyVampireAmountBonusFixedAF2|powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipEnergyVampireTransferAmountBonusAB|powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipEnergyVampireTransferAmountBonusAc|powerTransferAmount
xx% 能量炮台能量栅格需求降低: shipNOSTransferAmountBonusRookie|powerTransferAmount
xx% 能量炮台能量栅格需求降低: skillAdvancedWeaponUpgradesPowerNeedBonusBombLaunchers|power
xx% 能量炮台能量栅格需求降低: skillAdvancedWeaponUpgradesPowerNeedBonus|power/power/power
xx% 能量炮台能量栅格需求降低: solarFlareShipBonusLMHMHAMLauncherPG|power/power/power
xx% 能量炮台能量栅格需求降低: solarFlareShipBonusMedEnergyTurretPG|power/power
xx% 能量炮台能量栅格需求降低: solarFlareShipBonusMedHybridTurretPG|power/power
xx% 能量炮台能量栅格需求降低: solarFlareShipBonusMedProjectileTurretPG|power/power
xx% 能量炮台能量栅格需求降低: subsystemBonusAmarrCore2EnergyVampireAmount|powerTransferAmount
xx% 能量炮台能量栅格需求降低: subsystemBonusAmarrEngineeringPowerOutput|powerOutput
xx% 能量炮台能量栅格需求降低: subsystemBonusCaldariEngineeringPowerOutput|powerOutput
xx% 能量炮台能量栅格需求降低: subsystemBonusGallenteEngineeringPowerOutput|powerOutput
xx% 能量炮台能量栅格需求降低: subsystemBonusMinmatarEngineeringPowerOutput|powerOutput
xx% 能量炮台能量栅格需求降低: systemEnergyVampireMultiplier|powerTransferAmount
xx% 能量炮台能量栅格需求降低: systemRemoteCapTransmitterAmount|powerTransferAmount
xx% 能量炮台跟踪速度加成: QuafeHybirdWeaponTrackingBonus|trackingSpeed
xx% 能量炮台跟踪速度加成: ammoTrackingMultiplier|trackingSpeed
xx% 能量炮台跟踪速度加成: boosterTurretTrackingPenalty|trackingSpeed
xx% 能量炮台跟踪速度加成: controlTowerTrackingArrayHybridTrackingBonus|trackingSpeed
xx% 能量炮台跟踪速度加成: controlTowerTrackingArrayLaserTrackingBonus|trackingSpeed
xx% 能量炮台跟踪速度加成: controlTowerTrackingArrayProjectileTrackingBonus|trackingSpeed
xx% 能量炮台跟踪速度加成: dungeonTurretTrackingBonus|trackingSpeed
xx% 能量炮台跟踪速度加成: eliteBonusGunshipHybridTracking2|trackingSpeed
xx% 能量炮台跟踪速度加成: eliteBonusGunshipProjectileTracking1|trackingSpeed
xx% 能量炮台跟踪速度加成: eliteBonusHeavyGunshipProjectileTracking2|trackingSpeed
xx% 能量炮台跟踪速度加成: eliteBonusHybridTracking1|trackingSpeed
xx% 能量炮台跟踪速度加成: eliteBonusLPTtrackingBlackOps1|trackingSpeed
xx% 能量炮台跟踪速度加成: interceptor2HybridTracking|trackingSpeed
xx% 小型能量炮台跟踪速度加成: interceptor2LaserTracking|trackingSpeed
xx% 能量炮台跟踪速度加成: moduleBonusSkillModule59736|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusDreadnoughtC1HybridTracking|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusHybridTrackingATC2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusHybridTrackingATC3|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusHybridTrackingGF2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusProjectileTrackingMBC2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusProjectileTrackingMC2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusRoguelikeTalent1120|trackingSpeed
xx% 能量炮台跟踪速度加成: shipBonusTitanG1ProjectileTracking|trackingSpeed
xx% 能量炮台跟踪速度加成: shipEnergyTrackingABC1|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHTTrackingBonusGB2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHTTrackingBonusGB|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHybridTracking1GD2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHybridTrackingCD2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHybridTrackingGBC2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHybridTrackingGC2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipHybridTrackingGC|trackingSpeed
xx% 能量炮台跟踪速度加成: shipLPWTrackingBonusPCBS1|trackingSpeed
xx% 能量炮台跟踪速度加成: shipLaserTracking2AD2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipModeSPTTrackingPostDiv|trackingSpeed
xx% 能量炮台跟踪速度加成: shipProjectileTracking1MD2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipProjectileTrackingGD|trackingSpeed
xx% 能量炮台跟踪速度加成: shipProjectileTrackingGF|trackingSpeed
xx% 能量炮台跟踪速度加成: shipProjectileTrackingMF2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipSETTrackingBonusRookie|trackingSpeed
xx% 能量炮台跟踪速度加成: shipSHTTrackingGallenteTacticalDestroyer2|trackingSpeed
xx% 能量炮台跟踪速度加成: shipTrackingBonusAB|trackingSpeed
xx% 能量炮台跟踪速度加成: shipbonusPCTTrackingPC2|trackingSpeed
xx% 能量炮台跟踪速度加成: subsystemBonusGallenteOffensive3TurretTracking|trackingSpeed
xx% 能量炮台跟踪速度加成: systemTracking|trackingSpeed
xx% 能量炮台运转周期降低: eliteIndustrialUpwellNeutNosHeatBonus|overloadSelfDurationBonus/overloadSelfDurationBonus
xx% 能量炮台运转周期降低: subSystemBonusAmarrOffensiveCommandBursts|buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value
xx% 能量炮台运转周期降低: subSystemBonusMinmatarOffensiveCommandBursts|buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value/buffDuration/warfareBuff1Value/warfareBuff2Value/warfareBuff3Value/warfareBuff4Value

## 无人机

xx% 无人机HP加成: 	systemHullHPBonusPercentItem|hp
xx% 无人机HP加成:  shipBonusArmorPlateHitpointAmountEliteBonusLogistics4|armorHPBonusAdd
xx% 无人机HP加成: BattleshipRoleBonusArmorPlate&ShieldExtenderHP|capacityBonus/armorHPBonusAdd/structureHPMultiplier
xx% 无人机HP加成: ShipDroneHPbonus|hp/armorHP/shieldCapacity
xx% 无人机HP加成: ammoInfluenceShieldCapacity|shieldCapacity
xx% 无人机HP加成: armorHPBonusAddPassive|armorHP
xx% 无人机HP加成: armorHPBonusAdd|armorHP
xx% 无人机HP加成: armorHPMultiply|armorHP
xx% 无人机HP加成: booster62126Bonus|armorHPBonusAdd
xx% 无人机HP加成: booster62133Bonus|shieldCapacity/armorHP/hp
xx% 无人机HP加成: boosterArmorHpPenalty|armorHP
xx% 无人机HP加成: boosterShieldCapacityPenalty|shieldCapacity
xx% 无人机HP加成: capitalIndustrialShipBonusDroneHitPoints|armorHP/hp/shieldCapacity
xx% 无人机HP加成: cockroachQAHullHPBonus|hp
xx% 无人机HP加成: drawbackArmorHP|armorHP
xx% 无人机HP加成: drawbackShieldCapacity|shieldCapacity
xx% 无人机HP加成: droneArmorBonusToDHHMechDrones|armorHP
xx% 无人机HP加成: droneDurabilityArmorHPBonus|armorHP
xx% 无人机HP加成: droneDurabilityHPBonus|hp
xx% 无人机HP加成: droneDurabilityShieldCapBonus|shieldCapacity
xx% 无人机HP加成: droneMaxRangeBonus|armorHP/hp/shieldCapacity
xx% 无人机HP加成: droneShieldBonusToAlphaMechDrones|shieldCapacity
xx% 无人机HP加成: eliteBonusCommandShipArmorHP1|armorHP
xx% 无人机HP加成: eliteBonusCommandShipShieldHPCS1|shieldCapacity
xx% 无人机HP加成: eliteBonusInterdictors1ShieldCapacity|shieldCapacity
xx% 无人机HP加成: eliteBonusJumpFreighterArmorHP1|armorHP
xx% 无人机HP加成: eliteBonusJumpFreighterHullHP1|hp
xx% 无人机HP加成: eliteBonusJumpFreighterShieldHP1|shieldCapacity
xx% 无人机HP加成: eliteBonusLogiFrigArmorHP2|armorHP
xx% 无人机HP加成: eliteBonusLogiFrigShieldHP2|shieldCapacity
xx% 无人机HP加成: hullUpgradesArmorHpBonusPostPercentHpLocationShip|armorHP
xx% 无人机HP加成: implantArmorHpBonus2|armorHP
xx% 无人机HP加成: industrialCommandBonusDroneHitPoints|armorHP/hp/shieldCapacity
xx% 无人机HP加成: interceptorNullificationDroneBandWidthRoleBonus|droneBandwidthPercentage
xx% 无人机HP加成: mechanicHullHpBonusPostPercentHpShip|hp
xx% 无人机HP加成: miningBargeBonusArmorHP|armorHP
xx% 无人机HP加成: miningBargeBonusShieldCapacity|shieldCapacity
xx% 无人机HP加成: moduleBonusDroneHPAmplifier(no fighter)|armorHP/shieldCapacity/hp
xx% 无人机HP加成: moduleBonusFighterSupportUnit|fighterAbilityAttackMissileDuration/fighterAbilityAttackTurretDuration/fighterAbilityMissilesDuration/maxVelocity/shieldCapacity/shieldRechargeRate
xx% 无人机HP加成: setBonusChristmasShieldCapacityBonus|shieldCapacityBonus
xx% 无人机HP加成: setBonusFlareShieldCapacityBonus|shieldCapacityBonus
xx% 无人机HP加成: shieldCapacityAddPassive|shieldCapacity
xx% 无人机HP加成: shieldCapacityBonusOnline|shieldCapacity
xx% 无人机HP加成: shieldCapacityMultiply|shieldCapacity
xx% 无人机HP加成: shieldHpBonusPostPercentHpLocationShip|shieldCapacity
xx% 无人机HP加成: shieldManagementShieldCapacityBonusPostPercentCapacityLocationShipGroupShield|shieldCapacity
xx% 无人机HP加成: shieldManagementSkillBoostShieldCapacityBonus|shieldCapacityBonus
xx% 无人机HP加成: shipArmorHitPointsAC1|armorHP
xx% 无人机HP加成: shipArmorHpAC2|armorHP
xx% 无人机HP加成: shipArmorHpAmaNavyDestroyer|armorHP
xx% 无人机HP加成: shipBonusArmorHPAD2|armorHP
xx% 无人机HP加成: shipBonusArmorHitpointsABC1|armorHP
xx% 无人机HP加成: shipBonusCarrierConcord3FighterShieldCapacitor|shieldCapacity
xx% 无人机HP加成: shipBonusCarrierG3FighterHitpoints|shieldCapacity
xx% 无人机HP加成: shipBonusDroneArmorHitPointsAB|armorHP
xx% 无人机HP加成: shipBonusDroneArmorHitpointsGF2|armorHP
xx% 无人机HP加成: shipBonusDroneHPHeavyMediumLightGBC1|hp/hp/hp/armorHP/armorHP/armorHP/shieldCapacity/shieldCapacity/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsABC2|hp/armorHP/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsAB|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsAD1|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsFixedAC2|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsGB2|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsGBC1|hp/armorHP/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsGC2|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsGD1|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusDroneHitpointsGF2|hp
xx% 无人机HP加成: shipBonusDroneHitpointsGF|armorHP/shieldCapacity/hp
xx% 无人机HP加成: shipBonusDroneHitpointsRookie|hp/armorHP/shieldCapacity
xx% 无人机HP加成: shipBonusDroneShieldHitPointsAB|shieldCapacity
xx% 无人机HP加成: shipBonusDroneShieldHitpointsGF2|shieldCapacity
xx% 无人机HP加成: shipBonusDroneWebStrengthAndHitpointsGBC3|speedFactor/armorHP/shieldCapacity/hp
xx% 无人机HP加成: shipBonusHeavyDroneArmorHPGC2|armorHP
xx% 无人机HP加成: shipBonusHeavyDroneArmorHpPirateFaction|armorHP
xx% 无人机HP加成: shipBonusHeavyDroneHPGC2|hp
xx% 无人机HP加成: shipBonusHeavyDroneHPPirateFaction|hp
xx% 无人机HP加成: shipBonusHeavyDroneShieldHPGC2|shieldCapacity
xx% 无人机HP加成: shipBonusHeavyDroneShieldHpPirateFaction|shieldCapacity
xx% 无人机HP加成: shipBonusLightDroneArmorHPGC2|armorHP
xx% 无人机HP加成: shipBonusLightDroneArmorHPPirateFaction|armorHP
xx% 无人机HP加成: shipBonusLightDroneHPGC2|hp
xx% 无人机HP加成: shipBonusLightDroneHPPirateFaction|hp
xx% 无人机HP加成: shipBonusLightDroneShieldHPGC2|shieldCapacity
xx% 无人机HP加成: shipBonusLightDroneShieldHPPirateFaction|shieldCapacity
xx% 无人机HP加成: shipBonusMediumDroneArmorHPGC2|armorHP
xx% 无人机HP加成: shipBonusMediumDroneArmorHPPirateFaction|armorHP
xx% 无人机HP加成: shipBonusMediumDroneArmorHProle8|armorHP
xx% 无人机HP加成: shipBonusMediumDroneHPGC2|hp
xx% 无人机HP加成: shipBonusMediumDroneHPPirateFaction|hp
xx% 无人机HP加成: shipBonusMediumDroneHProle8|hp
xx% 无人机HP加成: shipBonusMediumDroneShieldHPGC2|shieldCapacity
xx% 无人机HP加成: shipBonusMediumDroneShieldHPPirateFaction|shieldCapacity
xx% 无人机HP加成: shipBonusMediumDroneShieldHProle8|shieldCapacity
xx% 无人机HP加成: shipBonusORECapShipDroneArmorHPAndShieldHPAndHpBonus|shieldCapacity/armorHP/hp
xx% 无人机HP加成: shipBonusRoguelikeTalent1110|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusRole2ArmorPlates&ShieldExtendersBonus|capacityBonus/armorHPBonusAdd
xx% 无人机HP加成: shipBonusSentryArmorHPGC3|armorHP
xx% 无人机HP加成: shipBonusSentryDroneArmorHpPirateFaction|armorHP
xx% 无人机HP加成: shipBonusSentryDroneHPPirateFaction|hp
xx% 无人机HP加成: shipBonusSentryDroneShieldHpPirateFaction|shieldCapacity
xx% 无人机HP加成: shipBonusSentryHPGC3|hp
xx% 无人机HP加成: shipBonusSentryShieldHPGC3|shieldCapacity
xx% 无人机HP加成: shipBonusShieldHpCF2|shieldCapacity
xx% 无人机HP加成: shipBonusStasisWebDroneHitpointsAT|armorHP/hp/shieldCapacity
xx% 无人机HP加成: shipBonusSupercarrierG2FighterHitpoints|shieldCapacity
xx% 无人机HP加成: shipBonusSupercarrierRole2ArmorShieldModuleBonus|capacityBonus/armorHPBonusAdd
xx% 无人机HP加成: shipRoleBonusDroneHitPoints|hp/shieldCapacity/armorHP
xx% 无人机HP加成: shipShieldCapBonusCF|shieldCapacity
xx% 无人机HP加成: shipShieldHitpointsCC1|shieldCapacity
xx% 无人机HP加成: skillBonusDroneDurabilityNotFighters|shieldCapacity/armorHP/hp
xx% 无人机HP加成: skillBonusDroneDurability|shieldCapacity/armorHP/hp/shieldCapacity
xx% 无人机HP加成: skillBonusSupportFightersShield|shieldCapacity
xx% 无人机HP加成: subsystemBonusAmarrDefensiveArmorHP|armorHP
xx% 无人机HP加成: subsystemBonusCaldariDefensiveShieldHP|shieldCapacity
xx% 无人机HP加成: subsystemBonusGallenteDefensiveArmorHP|armorHP
xx% 无人机HP加成: subsystemBonusGallenteEngineeringDroneHP|shieldCapacity/armorHP/hp
xx% 无人机HP加成: subsystemBonusMinmatarDefensiveShieldArmorHP|armorHP/shieldCapacity
xx% 无人机HP加成: systemArmorHP|armorHP
xx% 无人机HP加成: systemShieldHP|shieldCapacity
xx% 无人机伤害加成: ATfrigDroneBonus|shieldCapacity/hp/damageMultiplier/armorHP
xx% 无人机伤害加成: AtcruiserDroneBonus|shieldCapacity/hp/damageMultiplier/armorHP
xx% 无人机伤害加成: StellianColossusDroneDamageandHPBonus1|damageMultiplier/hp/shieldCapacity/armorHP
xx% 无人机伤害加成: ancientDroneBookEffectSkillBonus|ancientDroneNavigationBonus/ancientDroneDamageBonus
xx% 无人机伤害加成: ancientDroneBookEffect|maxVelocity/damageMultiplier
xx% 无人机伤害加成: capitalIndustrialCommandBonusDroneDamage|damageMultiplier
xx% 无人机伤害加成: capitalIndustrialShipSkillLevelDroneDamage|capitalIndustrialCommandBonusDroneDamage
xx% 无人机伤害加成: droneArmorDamageBonusEffect|armorDamageAmount
xx% 无人机伤害加成: droneDamageBonusRequringDrones|damageMultiplier
xx% 无人机伤害加成: droneDamageBonus|damageMultiplier
xx% 无人机伤害加成: droneDamageBounsForBooster|damageMultiplier/fighterAbilityAttackMissileDamageMultiplier/fighterAbilityAttackTurretDamageMultiplier/fighterAbilityMissilesDamageMultiplier
xx% 无人机伤害加成: droneHullRepairBonusEffect|structureDamageAmount
xx% 无人机伤害加成: effectSupperCarriEremergencyHullEnergizerButDisableMovementAndFight|maxVelocity/warpScrambleStatus/fighterAbilityAttackMissileDamageMultiplier/fighterAbilityAttackTurretDamageMultiplier/fighterAbilityMissilesDamageMultiplier/emDamageResonance/explosiveDamageResonance/kineticDamageResonance/thermalDamageResonance
xx% 无人机伤害加成: eliteBonusDroneArmorShieldTransferBonusBlops1|shieldBonus/armorDamageAmount
xx% 无人机伤害加成: eliteBonusMarauderHeavyDroneHPandDamage|damageMultiplier/armorHP/hp/shieldCapacity
xx% 无人机伤害加成: exhumersBonusLightDronesDamage|damageMultiplier
xx% 无人机伤害加成: exhumersBonusMediumDronesDamage|damageMultiplier
xx% 无人机伤害加成: exhumersSkillLevelLightDronesDamage|exhumersBonusLightDroneDamage
xx% 无人机伤害加成: exhumersSkillLevelMediumDronesDamage|exhumersBonusMediumDronesDamage
xx% 无人机伤害加成: expeditionFrigateBonusLightDronesDamage_DEPRICATED|damageMultiplier
xx% 无人机伤害加成: expeditionFrigateBonusLightDronesDamage|damageMultiplier
xx% 无人机伤害加成: expeditionFrigateBonusMediumDronesDamage_DEPRICATED|damageMultiplier
xx% 无人机伤害加成: expeditionFrigateBonusMediumDronesDamage|damageMultiplier
xx% 无人机伤害加成: expeditionFrigateSkillLevelLightDronesDamage_DEPRICATED|expeditionFrigateBonusLightDronesDamage_DEPRICATED
xx% 无人机伤害加成: expeditionFrigateSkillLevelLightDronesDamage|expeditionFrigateBonusLightDronesDamage
xx% 无人机伤害加成: expeditionFrigateSkillLevelMediumDronesDamage_DEPRICATED| expeditionFrigateBonusMediumDronesDamage_DEPRICATED
xx% 无人机伤害加成: expeditionFrigateSkillLevelMediumDronesDamage|expeditionFrigateBonusMediumDroneDamage
xx% 无人机伤害加成: industrialBonusDroneDamage|damageMultiplier
xx% 无人机伤害加成: industrialCommandBonusDroneDamage|damageMultiplier
xx% 无人机伤害加成: industrialCommandSkillLevelDroneDamage|industrialCommandBonusDroneDamage
xx% 无人机伤害加成: machDroneBookEffectSkillBonus|machDroneNavigationBonus/machDroneDamageBonus
xx% 无人机伤害加成: machDroneBookEffect|maxVelocity/damageMultiplier
xx% 无人机伤害加成: moduleBonusDroneDamageAmplifier(no fighter)|damageMultiplier
xx% 无人机伤害加成: moduleBonusDroneDamageAmplifier|damageMultiplier/fighterAbilityAttackMissileDamageMultiplier/fighterAbilityAttackTurretDamageMultiplier/fighterAbilityMissilesDamageMultiplier
xx% 无人机伤害加成: repairDroneArmorDamageAmountBonus|armorDamageAmount
xx% 无人机伤害加成: repairDroneHullBonusBonus|structureDamageAmount
xx% 无人机伤害加成: roleBonusDroneDamage|kineticDamage/emDamage/explosiveDamage/thermalDamage
xx% 无人机伤害加成: sentryDroneDamageBonus|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageAB|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageGF2|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageHeavyMediumLightMultiplierGBC1|damageMultiplier/damageMultiplier/damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierABC2|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierAB|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierAC2|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierAD1|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierGB2|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierGBC1|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierGC2|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierGD1|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneDamageMultiplierRookie|damageMultiplier
xx% 无人机伤害加成: shipBonusDroneHPDamageMiningICS4|damageMultiplier/armorHP/hp/shieldCapacity/miningAmount
xx% 无人机伤害加成: shipBonusDroneHPDamageMiningORECapital4|damageMultiplier/armorHP/hp/shieldCapacity/miningAmount
xx% 无人机伤害加成: shipBonusDroneRepairMC1|armorDamageAmount/shieldBonus/structureDamageAmount
xx% 无人机伤害加成: shipBonusHeavyDroneDamageMultiplierGC2|damageMultiplier
xx% 无人机伤害加成: shipBonusHeavyDroneDamageMultiplierPirateFaction|damageMultiplier
xx% 无人机伤害加成: shipBonusLightDroneDamageMultiplierGC2|damageMultiplier
xx% 无人机伤害加成: shipBonusLightDroneDamageMultiplierPirateFaction|damageMultiplier
xx% 无人机伤害加成: shipBonusMediumDroneDamageMultiplierGC2|damageMultiplier
xx% 无人机伤害加成: shipBonusMediumDroneDamageMultiplierPirateFaction|damageMultiplier
xx% 无人机伤害加成: shipBonusORECapShipDroneDmgBonus|damageMultiplier
xx% 无人机伤害加成: shipBonusRole2LogisticDroneRepAmountAndHitpointBonus|shieldBonus/armorDamageAmount/structureDamageAmount/shieldCapacity/armorHP/hp
xx% 无人机伤害加成: shipBonusRole2LogisticDroneRepAmountBonus|shieldBonus/armorDamageAmount/structureDamageAmount
xx% 无人机伤害加成: shipBonusRole2LogisticDroneRepAmountandHPBonus|shieldBonus/armorDamageAmount/structureDamageAmount/hp/shieldCapacity/armorHP
xx% 无人机伤害加成: shipBonusSentryDroneDamageAndSentryHPMultiplierGBC3|damageMultiplier/hp/armorHP/shieldCapacity
xx% 无人机伤害加成: shipBonusSentryDroneDamageMultiplierPirateFaction|damageMultiplier
xx% 无人机伤害加成: shipDroneHPandDamageOreDestroyer2|damageMultiplier/hp/armorHP/shieldCapacity
xx% 无人机伤害加成: shipDroneScoutThermalDamageGF2|thermalDamage
xx% 无人机伤害加成: shipRoleBonusDroneDamage|damageMultiplier
xx% 无人机伤害加成: skillBonusDroneInterfacingNotFighters|damageMultiplier
